"","npersons","years_in_uni","oldest_age","field","RFCD.Code.1","midpoint","status"
"531",3,"> 10",46,"chem",250402,24999.5,0
"532",1,"< 5",33,"beh_cog",380103,24999.5,0
"533",1,"> 10",48,"soc",370601,24999.5,0
"534",1,"< 5",46,"bio",270303,24999.5,1
"535",5,"< 5",51,"bio",270207,24999.5,0
"536",1,"< 5",36,"beh_cog",380107,24999.5,0
"537",2,"< 5",56,"beh_cog",380201,24999.5,1
"538",1,"< 5",65,"bio",270502,24999.5,0
"539",2,"5-10",57,"soc",370105,24999.5,1
"540",2,"> 10",43,"bio",270206,24999.5,1
